,index,DATE,ACTLISCOUUS,Diff_house_inventory
222,223,2021-07-01,546686.0,54261.0
223,224,2021-08-01,574638.0,27952.0
224,225,2021-09-01,578070.0,3432.0
225,226,2021-10-01,565707.0,-12363.0
226,227,2021-11-01,512241.0,-53466.0
227,228,2021-12-01,445303.0,-66938.0
228,229,2022-01-01,376970.0,-68333.0
229,230,2022-02-01,346511.0,-30459.0
230,231,2022-03-01,354016.0,7505.0
231,232,2022-04-01,379978.0,25962.0
232,233,2022-05-01,479462.0,99484.0
233,234,2022-06-01,573650.0,94188.0
234,235,2022-07-01,691652.0,118002.0
235,236,2022-08-01,726779.0,35127.0
236,237,2022-09-01,731496.0,4717.0
237,238,2022-10-01,752741.0,21245.0
238,239,2022-11-01,750200.0,-2541.0
239,240,2022-12-01,680925.0,-69275.0
240,241,2023-01-01,616865.0,-64060.0
241,242,2023-02-01,579264.0,-37601.0
242,243,2023-03-01,562444.0,-16820.0
243,244,2023-04-01,562966.0,522.0
244,245,2023-05-01,582441.0,19475.0
245,246,2023-06-01,614326.0,31885.0
246,247,2023-07-01,647135.0,32809.0
247,248,2023-08-01,669750.0,22615.0
248,249,2023-09-01,702430.0,32680.0
249,250,2023-10-01,738082.0,35652.0
250,251,2023-11-01,755489.0,17407.0
251,252,2023-12-01,714176.0,-41313.0
252,253,2024-01-01,665569.0,-48607.0
253,254,2024-02-01,664716.0,-853.0
254,255,2024-03-01,694820.0,30104.0
255,256,2024-04-01,734318.0,39498.0
256,257,2024-05-01,787722.0,53404.0
257,258,2024-06-01,839992.0,52270.0
