Month,Total,1 unit,2 to 4,5 units,Northeast,,Midwest,,South,,West,
,,,units,or more,Total,1 unit,Total,1 unit,Total,1 unit,Total,1 unit
Dec 2014,89.5,64.5,0.6,24.5,7.9,4.6,16.3,10.5,41.7,34.0,23.6,15.4
Jan 2015,65.1,45.3,0.5,19.4,4.9,3.4,8.7,6.6,36.9,26.8,14.5,8.5
Feb 2015,59.3,41.8,1.2,16.3,3.5,2.4,8.9,6.0,33.3,24.9,13.6,8.5
Mar 2015,60.5,44.7,0.9,15.0,3.4,2.7,7.0,5.7,34.7,26.5,15.4,9.9
Apr 2015,77.1,53.3,1.0,22.8,8.2,3.4,14.4,9.8,36.8,28.1,17.7,12.1
May 2015,83.9,54.2,0.6,29.2,12.1,3.8,13.0,8.3,40.4,29.9,18.5,12.2
Jun 2015,85.4,55.7,0.8,28.9,6.4,3.7,12.4,7.9,47.6,30.4,18.9,13.6
Jul 2015,86.3,52.1,1.1,33.2,8.2,3.9,15.3,8.5,43.7,26.8,19.1,12.7
Aug 2015,92.1,58.6,0.8,32.7,6.9,4.0,15.3,9.8,45.3,31.4,24.6,13.5
Sep 2015,92.6,58.0,0.7,33.9,11.6,5.1,19.9,10.6,40.0,28.8,21.1,13.5
Oct 2015,89.5,60.0,0.8,28.7,10.7,4.9,14.7,10.1,43.6,31.2,20.5,13.8
Nov 2015,80.9,55.2,1.1,24.6,8.5,4.5,10.2,7.9,40.3,30.0,21.8,12.7
Dec 2015,95.6,69.0,0.8,25.8,8.2,4.8,14.6,11.5,47.1,37.1,25.7,15.6
Jan 2016,72.5,46.7,1.2,24.6,6.8,4.1,9.3,6.4,37.7,26.7,18.7,9.5
Feb 2016,71.2,51.4,1.4,18.3,5.0,3.4,9.5,6.2,38.0,28.4,18.8,13.4
Mar 2016,78.8,55.4,0.7,22.7,7.3,4.2,11.7,8.0,42.4,31.8,17.5,11.4
Apr 2016,73.8,55.6,0.7,17.6,6.5,4.4,11.5,9.2,39.0,30.2,16.8,11.8
May 2016,83.5,60.2,0.7,22.6,5.6,3.8,14.0,10.2,44.4,33.0,19.5,13.3
Jun 2016,97.9,65.9,0.8,31.2,11.3,5.8,15.5,11.5,49.7,34.8,21.3,13.8
Jul 2016,93.4,61.2,0.7,31.5,8.6,4.1,15.5,10.6,44.8,33.2,24.5,13.2
Aug 2016,98.0,66.0,0.9,31.1,12.9,5.7,14.3,8.9,50.3,37.2,20.5,14.3
Sep 2016,90.2,63.7,1.3,25.3,9.3,5.5,11.3,9.9,46.9,32.7,22.8,15.5
Oct 2016,96.7,70.0,0.6,26.1,7.2,4.4,17.8,11.9,48.5,38.7,23.2,15.0
Nov 2016,100.0,67.3,0.8,31.9,9.4,4.7,16.0,11.9,55.6,36.1,19.0,14.6
Dec 2016,103.6,75.0,0.6,28.0,9.5,5.0,17.7,12.2,54.0,40.1,22.4,17.7
Jan 2017,74.6,55.0,0.3,19.4,5.6,4.4,11.3,8.5,43.5,32.9,14.3,9.2
Feb 2017,78.9,52.7,1.1,25.1,7.5,2.3,7.6,6.6,40.6,29.2,23.1,14.5
Mar 2017,92.0,62.4,1.3,28.3,8.0,4.0,13.3,9.2,50.0,36.1,20.7,13.0
Apr 2017,83.4,60.1,1.6,21.7,6.3,4.3,13.9,9.9,45.3,33.0,17.8,12.8
May 2017,98.1,66.9,1.0,30.3,11.6,4.8,11.9,9.8,49.6,35.3,25.0,17.0
Jun 2017,109.9,71.3,1.1,37.5,12.5,5.7,19.2,10.7,48.2,36.9,30.0,18.1
Jul 2017,102.2,69.4,0.6,32.1,9.0,6.2,15.1,8.9,54.0,38.4,24.1,15.8
Aug 2017,102.1,65.6,0.3,36.2,13.1,4.9,16.8,11.2,48.7,34.5,23.6,15.1
Sep 2017,96.2,68.2,0.7,27.3,8.0,5.6,16.7,10.6,51.1,36.3,20.5,15.7
Oct 2017,106.9,73.3,0.6,33.1,12.1,5.4,14.5,12.9,55.9,38.5,24.5,16.5
Nov 2017,95.1,68.1,1.1,26.0,11.4,5.1,15.1,10.1,49.4,39.1,19.3,13.8
Dec 2017,113.4,82.4,1.2,29.8,10.5,6.2,16.9,12.2,58.5,45.3,27.6,18.7
Jan 2018,84.0,59.8,0.7,23.5,8.0,4.4,11.1,8.6,42.3,32.1,22.6,14.7
Feb 2018,88.6,61.3,0.4,26.9,8.7,4.1,10.0,8.0,46.8,33.8,23.0,15.4
Mar 2018,94.9,67.1,0.8,27.0,11.0,4.6,10.8,7.3,47.6,37.9,25.5,17.3
Apr 2018,94.7,61.0,0.9,32.8,10.2,3.5,15.0,9.9,46.6,31.6,22.9,16.0
May 2018,105.7,74.1,1.0,30.6,7.7,4.2,14.2,11.7,56.7,39.9,27.1,18.3
Jun 2018,108.6,75.6,0.7,32.2,7.5,4.8,14.7,9.9,53.6,38.7,32.7,22.2
Jul 2018,101.9,67.6,0.5,33.7,9.5,3.9,15.9,10.8,49.9,36.6,26.7,16.3
Aug 2018,113.9,83.6,0.5,29.9,8.5,4.1,19.5,13.6,59.8,47.8,26.2,18.1
Sep 2018,100.9,72.7,0.8,27.3,11.0,5.8,16.4,12.0,47.3,36.1,26.2,18.7
Oct 2018,100.2,75.5,0.8,23.9,8.4,5.3,17.1,12.5,47.7,37.2,27.1,20.5
Nov 2018,91.9,66.9,0.9,24.1,10.3,5.2,11.7,9.6,44.8,37.1,25.0,14.9
Dec 2018,99.6,74.9,0.9,23.7,7.0,4.4,12.5,10.4,50.7,39.1,29.4,21.1
Jan 2019,87.2,64.2,0.2,22.8,8.5,3.4,9.3,7.9,44.5,35.5,24.9,17.4
Feb 2019,92.1,57.6,1.2,33.3,6.9,3.3,13.0,8.1,48.0,32.5,24.3,13.8
Mar 2019,104.9,75.2,1.0,28.7,9.4,4.6,14.3,10.4,55.5,40.0,25.8,20.2
Apr 2019,103.4,72.4,0.9,30.1,8.9,3.7,15.2,10.7,51.4,40.4,27.8,17.6
May 2019,103.3,74.6,0.4,28.4,8.1,5.6,16.8,9.5,50.3,41.1,28.0,18.4
Jun 2019,103.9,76.9,1.0,26.0,10.6,6.5,12.7,10.9,53.3,41.0,27.4,18.5
Jul 2019,108.5,75.9,1.1,31.6,9.3,5.9,17.2,10.5,57.3,43.7,24.7,15.8
Aug 2019,116.8,83.3,1.0,32.5,12.9,6.2,18.0,11.7,56.8,45.8,29.1,19.5
Sep 2019,96.3,72.9,0.2,23.2,9.1,5.9,13.2,10.1,48.9,39.4,25.2,17.5
Oct 2019,114.1,84.0,0.5,29.6,10.6,5.5,15.1,11.7,56.0,45.3,32.4,21.5
Nov 2019,101.4,78.7,0.8,22.0,10.1,6.1,13.0,9.8,53.9,44.6,24.5,18.2
Dec 2019,123.1,87.6,0.6,34.9,18.0,5.2,13.0,10.3,61.3,49.8,30.8,22.2
Jan 2020,90.2,62.5,0.7,27.0,7.1,5.4,12.3,8.2,44.7,33.1,26.1,15.8
Feb 2020,90.8,70.8,0.6,19.4,7.2,4.7,12.4,9.7,46.5,38.6,24.8,17.8
Mar 2020,101.7,72.3,0.6,28.7,5.6,3.1,15.5,9.9,57.2,42.9,23.4,16.5
Apr 2020,94.6,69.3,0.7,24.6,4.3,2.2,13.5,10.1,55.7,43.5,21.0,13.4
May 2020,98.5,69.5,1.2,27.7,7.9,4.1,15.3,9.3,51.6,40.3,23.6,15.9
Jun 2020,110.7,81.8,0.4,28.5,6.7,5.4,16.4,11.2,58.5,43.3,29.2,21.8
Jul 2020,117.1,79.5,0.9,36.7,9.2,6.2,12.9,9.0,63.7,45.0,31.3,19.3
Aug 2020,111.2,78.9,0.9,31.3,8.7,4.5,16.1,10.2,55.4,42.4,31.0,21.9
Sep 2020,121.1,78.6,1.0,41.4,9.2,4.5,18.2,11.1,61.7,41.2,32.1,21.9
Oct 2020,120.8,80.7,1.4,38.8,9.2,5.9,18.2,11.4,62.5,42.9,31.0,20.5
Nov 2020,99.8,75.6,0.8,23.4,8.7,4.6,14.1,12.2,51.6,41.0,25.3,17.8
Dec 2020,130.5,92.0,1.2,37.3,11.5,6.2,17.8,13.2,69.2,51.9,32.1,20.8
Jan 2021,93.7,72.2,0.3,21.1,7.9,5.4,11.9,10.0,53.4,41.8,20.5,15.1
Feb 2021,94.6,72.5,0.6,21.5,8.0,4.1,12.6,10.2,51.7,41.0,22.4,17.3
Mar 2021,120.5,83.9,0.5,36.1,9.9,6.1,16.4,9.4,67.7,50.4,26.4,17.9
Apr 2021,112.4,78.9,0.2,33.3,7.4,3.4,14.1,9.6,63.8,45.9,27.1,20.0
May 2021,112.0,80.3,0.4,31.4,5.7,4.0,15.4,9.7,65.3,47.5,25.6,19.1
Jun 2021,115.9,80.9,0.7,34.4,10.3,6.5,15.2,11.8,59.9,40.8,30.6,21.8
Jul 2021,121.4,78.5,1.3,41.5,9.9,4.9,16.4,9.8,62.7,43.2,32.3,20.6
Aug 2021,117.6,83.0,0.6,34.0,12.2,5.1,15.2,10.0,62.2,47.0,28.0,20.9
Sep 2021,103.0,79.0,0.6,23.4,8.6,4.8,17.1,11.3,55.1,44.3,22.2,18.6
Oct 2021,110.8,83.0,1.2,26.6,10.3,4.8,16.1,11.7,54.6,43.5,29.8,23.0
Nov 2021,111.7,78.2,0.7,32.8,9.2,4.6,17.8,11.9,58.4,42.2,26.4,19.4
Dec 2021,127.3,99.2,0.5,27.6,11.5,6.7,15.8,9.9,72.3,59.1,27.6,23.6
Jan 2022,87.1,65.6,0.9,20.6,5.8,3.6,9.4,8.5,48.1,37.7,23.8,15.9
Feb 2022,98.6,78.6,0.5,19.5,8.6,5.5,13.4,9.8,56.1,47.3,20.5,16.0
Mar 2022,112.7,87.9,0.9,23.9,7.9,4.2,14.9,11.0,68.7,55.3,21.3,17.4
Apr 2022,107.4,81.2,1.2,25.0,7.5,4.3,13.5,9.4,60.0,46.6,26.4,21.0
May 2022,120.9,87.1,0.5,33.3,8.3,5.1,14.3,11.8,66.8,49.6,31.5,20.6
Jun 2022,122.4,87.5,0.6,34.3,9.5,5.8,17.2,11.6,66.2,49.2,29.5,20.9
Jul 2022,123.5,82.9,0.5,40.2,8.8,5.6,25.9,12.5,61.9,45.6,26.9,19.1
Aug 2022,122.2,90.0,0.7,31.6,12.1,6.1,18.7,11.6,58.9,48.5,32.5,23.9
Sep 2022,120.4,88.5,0.2,31.8,9.9,3.4,18.7,13.9,61.8,51.3,30.1,19.8
Oct 2022,118.1,84.7,1.5,31.9,8.6,5.2,17.4,12.6,58.3,47.8,33.9,19.1
Nov 2022,125.1,91.3,0.7,33.1,17.7,5.2,16.7,11.7,66.3,56.0,24.4,18.3
Dec 2022,132.0,96.8,1.3,33.9,10.8,5.8,17.2,12.2,73.8,58.1,30.2,20.7
Jan 2023,94.8,71.0,0.6,23.2,6.9,3.9,12.2,9.0,51.5,41.5,24.2,16.7
Feb 2023,111.7,76.9,0.4,34.4,8.4,4.1,13.9,8.8,64.8,48.5,24.6,15.6
Mar 2023,126.4,87.2,1.0,38.2,10.4,4.9,16.4,9.9,66.7,54.1,32.9,18.3
Apr 2023,111.3,77.4,1.3,32.6,9.7,4.9,16.4,9.9,59.2,46.0,26.0,16.6
May 2023,129.6,84.4,1.6,43.7,10.5,5.8,16.5,11.2,74.3,48.0,28.3,19.3
Jun 2023,131.1,87.2,0.7,43.2,12.5,6.0,16.7,11.1,72.4,51.2,29.5,18.9
Jul 2023,115.7,83.0,0.9,31.8,9.1,5.2,18.1,12.7,63.5,48.0,25.1,17.0
Aug 2023,122.1,82.4,1.1,38.6,9.4,3.5,16.8,11.7,67.1,49.4,28.7,17.8
Sep 2023,123.0,83.8,0.8,38.4,9.0,4.5,16.3,10.7,68.6,51.3,29.2,17.3
Oct 2023,118.6,85.2,1.1,32.3,8.8,6.3,15.2,9.3,67.1,50.5,27.5,19.1
Nov 2023,116.4,79.1,1.3,36.0,8.6,4.8,14.2,9.9,69.6,47.1,23.9,17.3
Dec 2023,151.8,104.8,0.9,46.2,13.3,7.3,18.8,12.3,88.5,65.4,31.3,19.9
,,,,,,,,,,,,
NA Not available.,,,,,,,,,,,,
,,,,,,,,,,,,
Note: Single-family estimates prior to 1999 include an upward adjustment of 3.3 percent made to account for ,,,,,,,,,,,,
structures completed in permit-issuing areas without permit authorization.,,,,,,,,,,,,
