,Date,Close Close price adjusted for splits.
242,"Jun 1, 2004","1,140.84"
243,"May 1, 2004","1,120.68"
244,"Apr 1, 2004","1,107.30"
245,"Mar 1, 2004","1,126.21"
246,"Feb 1, 2004","1,144.94"
247,"Jan 1, 2004","1,131.13"
248,"Dec 1, 2003","1,111.92"
249,"Nov 1, 2003","1,058.20"
250,"Oct 1, 2003","1,050.71"
251,"Sep 1, 2003",995.97
252,"Aug 1, 2003","1,008.01"
253,"Jul 1, 2003",990.31
254,"Jun 1, 2003",974.50
255,"May 1, 2003",963.59
256,"Apr 1, 2003",916.92
257,"Mar 1, 2003",848.18
258,"Feb 1, 2003",841.15
259,"Jan 1, 2003",855.70
260,"Dec 1, 2002",879.82
261,"Nov 1, 2002",936.31
262,"Oct 1, 2002",885.76
263,"Sep 1, 2002",815.28
264,"Aug 1, 2002",916.07
