,DATE,CSUSHPISA,diff_house_prices
126,2013-07-01,155.60399999999998,1.4050000000000011
127,2013-08-01,156.961,1.3570000000000277
128,2013-09-01,158.22299999999998,1.261999999999972
129,2013-10-01,159.239,1.0160000000000196
130,2013-11-01,160.07299999999998,0.8339999999999748
131,2013-12-01,160.99200000000002,0.9190000000000396
132,2014-01-01,161.923,0.9309999999999832
133,2014-02-01,162.52100000000002,0.5980000000000132
134,2014-03-01,163.08100000000002,0.5600000000000023
135,2014-04-01,163.387,0.3059999999999832
136,2014-05-01,163.655,0.2680000000000007
137,2014-06-01,164.065,0.4099999999999966
138,2014-07-01,164.585,0.5200000000000102
139,2014-08-01,165.21099999999998,0.6259999999999764
140,2014-09-01,165.90099999999998,0.6899999999999977
141,2014-10-01,166.637,0.7360000000000184
142,2014-11-01,167.331,0.6939999999999884
143,2014-12-01,168.045,0.7139999999999986
144,2015-01-01,168.625,0.5800000000000125
145,2015-02-01,169.122,0.4970000000000141
146,2015-03-01,169.793,0.6709999999999923
147,2015-04-01,170.292,0.4989999999999952
148,2015-05-01,170.875,0.5829999999999984
149,2015-06-01,171.476,0.6009999999999991
150,2015-07-01,172.146,0.6699999999999875
151,2015-08-01,172.93,0.7840000000000202
152,2015-09-01,173.82299999999998,0.8929999999999723
153,2015-10-01,174.787,0.9640000000000271
154,2015-11-01,175.733,0.945999999999998
155,2015-12-01,176.53599999999997,0.8029999999999688
156,2016-01-01,177.261,0.7250000000000227
157,2016-02-01,177.639,0.3780000000000143
158,2016-03-01,178.15599999999998,0.5169999999999675
159,2016-04-01,178.757,0.6010000000000275
160,2016-05-01,179.419,0.6620000000000061
161,2016-06-01,180.088,0.6689999999999827
162,2016-07-01,180.847,0.7590000000000146
163,2016-08-01,181.836,0.9890000000000043
164,2016-09-01,182.81,0.9739999999999895
165,2016-10-01,183.738,0.9279999999999973
166,2016-11-01,184.748,1.009999999999991
167,2016-12-01,185.71,0.9620000000000175
168,2017-01-01,186.792,1.0819999999999936
169,2017-02-01,187.31,0.5180000000000007
170,2017-03-01,187.988,0.6779999999999973
171,2017-04-01,188.719,0.7309999999999945
172,2017-05-01,189.607,0.8880000000000052
173,2017-06-01,190.516,0.9089999999999918
174,2017-07-01,191.462,0.945999999999998
175,2017-08-01,192.646,1.1839999999999975
176,2017-09-01,193.741,1.0950000000000273
177,2017-10-01,194.788,1.046999999999997
178,2017-11-01,195.941,1.1529999999999916
179,2017-12-01,197.161,1.2199999999999989
180,2018-01-01,198.301,1.1399999999999864
181,2018-02-01,199.228,0.9270000000000209
182,2018-03-01,199.966,0.7379999999999995
183,2018-04-01,200.661,0.6949999999999932
184,2018-05-01,201.424,0.7630000000000052
185,2018-06-01,202.239,0.8149999999999977
186,2018-07-01,202.91,0.6709999999999923
187,2018-08-01,203.656,0.7460000000000093
188,2018-09-01,204.313,0.6569999999999823
189,2018-10-01,205.079,0.7660000000000196
190,2018-11-01,205.652,0.5729999999999791
191,2018-12-01,206.142,0.4900000000000091
192,2019-01-01,206.535,0.3930000000000007
193,2019-02-01,206.86,0.32500000000001705
194,2019-03-01,207.08,0.21999999999999886
195,2019-04-01,207.533,0.45299999999997453
196,2019-05-01,208.15,0.6170000000000186
197,2019-06-01,208.644,0.4939999999999998
198,2019-07-01,209.249,0.6049999999999898
199,2019-08-01,210.023,0.7740000000000009
200,2019-09-01,210.836,0.8130000000000166
201,2019-10-01,211.729,0.8930000000000007
202,2019-11-01,212.771,1.0419999999999732
203,2019-12-01,213.938,1.1670000000000016
204,2020-01-01,215.031,1.0930000000000177
205,2020-02-01,215.897,0.8659999999999854
206,2020-03-01,216.457,0.5600000000000023
207,2020-04-01,216.858,0.40100000000001046
208,2020-05-01,216.999,0.14099999999999113
209,2020-06-01,217.577,0.578000000000003
210,2020-07-01,219.287,1.710000000000008
211,2020-08-01,222.26,2.9729999999999848
212,2020-09-01,225.723,3.4630000000000223
213,2020-10-01,229.649,3.9259999999999877
214,2020-11-01,233.218,3.5689999999999884
215,2020-12-01,236.542,3.3240000000000123
216,2021-01-01,239.68,3.1380000000000052
217,2021-02-01,242.428,2.7479999999999905
218,2021-03-01,245.541,3.1129999999999995
219,2021-04-01,249.125,3.584000000000003
220,2021-05-01,253.419,4.294000000000011
221,2021-06-01,258.246,4.82699999999997
222,2021-07-01,262.616,4.3700000000000045
223,2021-08-01,266.582,3.966000000000008
224,2021-09-01,270.166,3.584000000000003
225,2021-10-01,273.546,3.3799999999999955
226,2021-11-01,277.262,3.716000000000008
227,2021-12-01,281.486,4.2239999999999895
228,2022-01-01,286.172,4.6860000000000355
229,2022-02-01,291.242,5.069999999999993
230,2022-03-01,296.512,5.269999999999982
231,2022-04-01,300.584,4.072000000000003
232,2022-05-01,303.704,3.1200000000000045
233,2022-06-01,304.468,0.76400000000001
234,2022-07-01,303.505,-0.9630000000000223
235,2022-08-01,301.029,-2.475999999999999
236,2022-09-01,299.006,-2.0230000000000246
237,2022-10-01,298.612,-0.3939999999999486
238,2022-11-01,298.332,-0.28000000000002956
239,2022-12-01,297.628,-0.7040000000000077
240,2023-01-01,297.43,-0.19799999999997908
241,2023-02-01,297.73900000000003,0.3090000000000259
242,2023-03-01,298.796,1.0569999999999595
243,2023-04-01,300.262,1.4660000000000082
244,2023-05-01,302.48900000000003,2.2270000000000323
245,2023-06-01,304.343,1.853999999999985
246,2023-07-01,306.451,2.108000000000004
247,2023-08-01,308.83,2.3789999999999623
248,2023-09-01,310.894,2.0640000000000214
249,2023-10-01,312.756,1.8619999999999663
250,2023-11-01,313.632,0.8760000000000332
251,2023-12-01,314.443,0.8109999999999786
252,2024-01-01,315.728,1.285000000000025
253,2024-02-01,317.257,1.5289999999999964
254,2024-03-01,318.217,0.9599999999999795
255,2024-04-01,319.048,0.8310000000000173
